refined_roman_sentences
Tum kahan jaa rahe ho aaj kal?
"Mujhe bhook lagi hai, kuch khana hai."
"Duniya dhoka hai, is mein har khoobsurat cheez aapko attract karti hai, iska matlab yeh toh nahi ki agar woh cheez aapki qismat mein nahi toh aap apne aap ko rog laga kar baith jaen ki woh cheez aapko nahi mili, mujhe chahiye, aur woh aapki zidd ban jaye, that's really, really not fair."
"Kinza, yeh baat buri hai, isko theek karo."
"Allah mere bete Wajahat Hussain aur meri naslon ke ilm mein izafa kare aur kamyabi ata kare, Ameen."
"Beghairat, dalle, sharam karo!"
"Bharat Mata ki Jai, yeh toh accha hai."
"2015 ki 19 lakh, wow, 2018 mein aa rahi hai 18 lakh ki, with one year insurance, kuch toh khuda ka khauf karo bhai."
"O youthiyo, kya qatil hua, azadi kisse leni hai?"
"Bakwas video hai, last tak kuch khaas nahi hai, bekar hai."
"Khuda jannat mein aala maqam ata farmaye, Ameen."
"Becharon ko black mail kar rahe hain, yeh toh galat hai."
"Allah na kare, aisa kabhi na ho."
"Badshah Salamat, Panjwani aur Bilal Sahibaan ne na sirf purzoor moral support di, apni neenden bhi puri keen, qatil!"
"Qatil, 1949 mein pehli martaba munaqid hone wale Pakistan Professional Squash Championship ki final mein 33 saala Hashim Khan ne 21 saala Roshan Khan ko shikast di."
"Zabardast hai bilkul, gaming mein bohat mazaa aa raha hai ab mobile pe, properly games khelte raho toh battery 4 to 5 hours chalti hai iski, mere Oppo aur Samsung S5 se easily connect ho gaya tha, bas ab yeh problem aa rahi hai ki kabhi kabhi bohat slow kaam karta hai."
"Is kutte ko jala dena chahiye, yeh petrol daal kar."
"Allah aapko jannat de, Ameen."
"Song is very nice, lekin video is so bakwas."
"Angrezon ki ghulami se azadi, property dealeron ki ghulami mubarak ho."
"Kya karo in plastic ke kharboozon ka, koi faida nahi."
"In sha Allah, sab theek ho jayega."
"Aa mere liye khasusi dua karo, bari mehrbani, thanks."
Hamari qaum ka har din black day hi hota hai aur har raat nightmare.
"Qatil, unhon ne Pak-China sarhadi muaahide ko amli jama pehnane mein numayan khidmaat anjam deen."
"Aye Allah Pak, main bhi aik ramzan tasbih karne mein guzaroon, Ameen."
"Iqra Aziz, yeh toh acchi actress hai."
"Jhoote, kabhi t-shirt bhi pehen kar aao."
"Chacha ki jitni guzar gayi aur jitni reh gayi, pno pe."
"Alhamdulillah, sab theek hai."
"Wah bhai wah bhai, kya baat hai!"
"Bakwas kar raha hai, jhoota hai, iska pura clip sun lo, isne bakwas ki thi, jhoota, laanti, kota."
"Shukr hai yeh namoona paida kiya, thanks to uncle aunty."
"Number toh nahi dete ho, aap se contact kaise karoon?"
Lanati ins
"Yai bechari Nadia drama wali larki hai, Anaya ki friend hai na?"
Break dance waqai mein bohat acha dance hai.
Chooran PMLNawazofficial ka kya scene hai?
"Khabees is a gold digger, I have always thought about it, aur aaj usne prove kar diya."
"Har aik ki samajh mein aajaun, mein wo qissa nahi hun, meri hansti duniya se alag hai, mein kisi bhi bheed ka hissa nahi hun. Love Ustad ji."
"Qatil, Sir Abdullah Haroon ki koshishon aur Muslim League ki markazi majlis-e-aamla ki tawun se 7 se 10 October 1938 ko aik azeem-ush-shaan conference Karachi ki Eid Gaah Maidan mein munaqid hui."
Lanat hai phir Ramazan mein bhi aisi harkatein karne walon par.
"Nasir Iqbal, koshish yehi hoti hai ki mehnat karo aur achi karkerdagi paish karo, qatil."
"Allah tumhein bohat nawaze, hamesha khush rakhe."
"Thank you so much for making this kind of love story, mere to hosh urr gaye, mohabbat kya hoti hai wo samajh aa gaya. Is mohabbat ki aage hamari mohabbat bas aik time pass nikli, ab to meri ek hi khwahish hai ki ek baar Feroz Qatil Khan sir aur Iqra Aziz mam se zaroor milun. Lots of love from Bangladesh."
"Mumtaz Aalim-e-Deen aur Islamic scholar Maulana Dr. Shair Ali Shah intaqal kar gaye, qatil."
"Kaise 100 index 500 points ki kami ke baad 35267 ki satah per aa gaya, qatil?"
"Media report ke liye kya karna chahiye, zara batao?"
"Allah hamain maaf farma, masoom log hain, inhien to exact word bhi nahi kehna aata ki ye kya hai, afsos ka muqaam hai."
"PTI ka ANP aur JI se town mein ittehad, PTI ki qatil."
"Kya kahun, qatil bhai, zara batao?"
"Bohat acha hai yeh item, mein isko zaroor use karunga."
Tumhein shaadi karwane ki neend nahi aa rahi hai?
"Jo pic mein machine hai wo nahi aayi, black color mein machine hai, but so beautiful and nice and too good."
Yeh Arsal ka gareban kabhi band nahi hota.
"Fazool bakwas, jis ne like kiya wo 70 maaon se zyada pyar karta hai, hum apni optional choice pe jo galat faislay karte hain uska ilzam bhi us pak zaat par laga dete hain, kindly delete this post."
"Beqaraar hai, dil mera beqaraar hai."
"Kya music hai, waah waah, aag laga di!"
"Janab Ibn-e-Safi bilashuba Urdu ke sab se bade jasoosi novel nigar hain aur in ki tehreeron mein aisa jadoo hai ki 50 saal pehle likhi gayi novel aaj ki dor, qatil, ka bhi insaan parhta hai to wo sab bhool jata hai."
"Saala kutta, jhoota hai tu."
"Mein bhi roz sunta hun, yeh song bahut acha lagta hai, love from Kolkata, India."
Be-humar lanat ho tum par.
"Hum is tanhai se khush hain, koi gham nahi."
"Anaya ka aik dekhna to dar lagta hai, aur koi nahi hai acting ke liye, bakwas larki hai, face nahi hai uske paas."
"According to Nasir Chainyoti, slow motion beghairat."
"Yeh dharma, yeh jaati, yeh duniya bhar ki chochle agar na hoti to apna bhi ashiyana hota tumhari shahar mein, love from Assam, India."
"Madam, aap bohat khubsoorat ho."
"Bohat shoq hai tujhe phansne ka, aik baar aagayi shikanje mein to tumhari khabasat aur tumhari hansi dono ki waat laga doonga mein."
Rula diya is song
"L hai 10 meter lamba ganda lakeen, yeh ganda hai."
"Qatil chun kay senior player, Bharat mein shikast ki sharmindagi ka koi jawab nahi de sakty thy."
"Bus karo aap log, aap bhi shareef nahi ho, bus mauqa mil gaya hai."
Qatil 1949 mein Peer Ali Rashdi Pakistan news paper editor conference ki sadar muntakhib hue aur Pakistani press ki us wafad ki sarbarahi ki faraiz anjam diye jo Bharat gaya tha aur jis ne Liaquat-Nehru muaahida ki raah hamwar ki thi.
"Film Armaan ne box office pe kamyabi ke tamam guzishta records tor diye, yeh Pakistan ki pehli film thi, is ka geet Akele Na Jana aur Ko Ko Korina gali gali gunjaya jane laga."
"Behtareen song vs best drama of mohabbat, dono hi kamaal hain."
Galib ki shayari hindi mein bhi utni hi mashoor hai jitni Urdu mein.
"Wow wow, kya baat hai, dil khush ho gaya!"
"Asar wazeefay ki saat insaan ki yaqeen mein bhi hota hai, yeh sach hai."
"Ni bro, awam chutiya hai, is liye toh yeh sab mil ke 75 saalon se bariyan laga rahe hain, bas naam aur chehre badalte hain, kaam wahi hote hain, aur yeh sab chutiya awam ki wajah se hi hai."
"Maam, dekhiye kuch cheezen samajh mein nahi aa sakti hain."
"Bank bhi toh hum se hi paisay wasool karenge, jaise Modi kar raha hai."
"Abe bachay ki jaan le ga kya, itna zulm kyun?"
"Pakistan Zindabad, hamesha zinda rahega!"
"Ponki ja, yeh kya hai, mujhe nahi pata."
"Qudsia, Qatil kitna funny lag rahe hain paratha khatay hue jab Ibrahim achanak aa gaya."
"Aur bagairat ban ja teri tarah, Qatil, yeh toh galat hai."
"Iqbal Bano ko classical aur neem classical, bilkhusoos mere watan ki nojawan, Qatil watan ke geet gaye ja, Qatil, aur yeh apni zameen, yeh apna watan, Qatil sooraj ki tarah roshan roshan apni misaalain phailay."
"Lanat tum sab par, mar jao, yeh toh galat hai."
"Refund policy mein galat cheez deliver karne par bhi refund hota hai, aap logo ko jab complain karo, aap kehte hain hamari refund policy mein nahi, refund karo, is case mein hum refund nahi kar sakte, toh bhai sahab kis case mein karenge refund?"
"Khair Mubarak Armeen, hamara eid kal tha, mubarak ho."
"Bohat khoob, dil khush ho gaya, wah wah!"
"Yeh wifi ka password mang rahe hain, data nahi hai faqeer ki paas."
"PDM chor daku jo hum pe musallat kiye gaye hain, Allah hamare mulk ki jaan churaye sab choron luteron se."
"Mashallah, nazar na lage, Allah bachaye."
"Allah bachaye, hamesha khush raho."
"Islam khatoon ki izzat aur tauqeer ka dars deta hai, yeh sach hai."
"Mein bohat mohabbat karta hun Nabi SAW se, apni maa baap se bhi zyada, apni jaan se bhi zyada."
"I want to tag your mom, yeh toh theek hai."
"Yar mazeed pagal na kar, aage demagh ghuma huwa hai, jawan parh ke."
"Dil jeet liye sir, aap ne kamaal kar diya."
"Pehli besharmi aur last dono apnay he ki, aur listen jab auqaat na ho paisay phenkne ki toh aisi he batein karte hain log jaise filhal pakar rahe hain."
"Hahahhahahahha, yeh haram khor jhoota hai, yeh toh galat hai."
"Dil ko choo ja, yeh gana, bohat acha hai."
"PM Yojna Pathankot mein koi batata nahi hai, yeh galat hai."
"Ilaaj se uski jaan bach gayi, lekin wo hamesha ke liye na-bina aur behri ho gayi, us pe mustazad yehi ki jo alfaaz wo bol sakti thi, wo bhi bhool gayi."
"9 May ko Maryam ne Asim Munir ka rape kiya tha, ye baat ghalat hai."
"Hazrat Sahab, dua ki darkhwast hai, meri dua qabool farmaiye."
"1994 ki awail mein, Andaz Apna Apna ne ek baar phir Salman Khan ko kamyabi ki shahrah pe gamzan kar diya."
"Bhhdd jab qatil ne ji hor dso ji ji thy host qatil ff d hans, ye kya bakwas hai?"
"Paisa hai to har kaseeti larki apnay peechey hogi, is video se ye prove ho gaya."
Allah tamam musalmano ki muafi qabool kare aur meri bhi maafi qabool kare.
"Aik ho kar bhi na mile, it's heartbreaking, dil dukhta hai."
"Had hogayi, ye stupid actor hai, acting aati hi nahi isay, Maham, kya dekh liya aapne is mein, Sayra, shadi kar lo yaar."
"Junoon hai is mein aur captain ko yehi junoon pasand hai, iska confidence baat raha hai, ye larka politics karega, kis party se karega ye to nahi kaha ja sakta, lekin ye bacha mike per apna control bana lega inshaAllah."
"Laude, itni sunder shayari ke beech music ki ungli ghusedna zaroori tha kya, bekar tha."
"3rd class chor, tum log sharam karo."
"Aapki zidd pe lanat, aisi zidd nahi honi chahiye."
"Haha, hamen bhi bilkul pasand nahi aaya, ye kya tha?"
"Kuttay ke bachay, bonko mat, Jawad Ahmad, chup raho."
"Not found aa raha hai, kya masla hai?"
"Pe haste rahe, unko koi parwah nahi thi."
"Ab aur gund saaf hoga, sare gande anday PTI mein jayen ge, Sheikh Rasheed ne kaha tha jo ek baar bikta hai wo baar baar bikta hai."
"Youtube to open karo, jaldi se video dekhte hain."
"Opps, to pehle bolti na, mujhe laga meri pyari dost mere liye soch rahi hai, chalo theek hai."
"Is film se Stallone ki filmi career ka sahi maeyno mein aghaaz hua, ye achi film thi."
"Chor, ye chor, chor, inko pakro."
"Kya chuss hai, aunty ko sarak chahiyen, pyari pyari aunty, bachon ko metro bus khilao."
"Allah Pak is tarah ke ulama ko salamat rakhay, Ameen."
"Aunty pagal ho gayi hain, ab Lahore ka haal pata hai."
"Mujhe ye song achay lagte hain, dil ko sukoon milta hai."
"Abe bawlay munne, laut ja wapas, ab bhi time hai, sudhar ja."
"Pyare bhai, mein ye kaam 3 saal se kar raha hoon, mujhe acha lagta hai."
"Hello, umeed hai aap khairiyat se hongi, baraye meherbani apna issue order code ki hamrah hamain DM kijiye taaki aapki behtar rehnumai ki ja sake."
"Maine aapse kaha ki wo bas Chand ki hi nahi, balki Sultan Durrani aur Shamshare aur Shazaib Danish Taimoor ki bhi dulhan hai, is liye ahtaram karein, dulhan kehne se, warna Shamshare ko pata chal gaya na."
"Dhoka hai, ye site please mat lain, inke products fraud hain, sarasar dhoka hai."
"Sasural walon ki taanay bohat kuch karne pe majboor kar deti hain, qatil mein sahi hai, sasural ki taanay, Allah sabhi ko nek aulad de aur mere betay ko hafiz, aalim aur imam-e-kaaba banaye, meri aankhon ki thandak banaye, Ameen, Summa Ameen."
Agar Pakistan mein ye waqeya huwa
Apni aala salahiyaton ki bunyad per Hashim Khan ko British Air Force mein squash coach banaya gaya tha.
Tujhe kaise pata ki mujhe teri behan ki gand marne ka shauq hai?
"Apne yaadgar lamhat ko shandaar banaye, qatil, taa kay log yaad rakhen."
"Nawaz Sharif Zindabad, hamesha zinda rahein hamare leader."
"Kisi kitaab mein likha hai ki Surah Fatiha parhne se aag nahi lagegi, koi bhi nuqsan nahi hoga, hamein Allah par bharosa hai."
"Yeh is drama mein TikTok ko itna promote kyun kiya jaa raha hai, samajh nahi aa raha."
"Chatne mein maza ayega, bohat, bohat, bohat zyada maza ayega."
Molvi Abdul Haq ek hamageer shakhsiyat thay aur apni zaat mein ek anjuman thay.
"I love you Lahore Qalandars, jeet kar dikhao is baar!"
"Naya episode nahi aa raha hai, kab aayega, batao toh sahi."
"Indians ne in logon ke drama ko popular kar diya hai, kya baat hai."
"Mashallah, kitna khoobsurat geet hai, dil khush ho gaya."
"Jis qaum ko aaj tak yeh nahi pata ki hamara deen kya hai, hamare Islam mein kya hukm hai Khatm-e-Nabuwat ke bare mein, woh Dr. Aafia ko yaad karegi, aaj kisi leader ne awaaz uthai Dr. Aafia ki baare mein, Nawaz Sharif, Imran, Zardari, koi ek naam toh baat kare, pata nahi kab hum logon mein shaoor aayega."
"Qayam-e-Pakistan ke baad, Fauj-e-Pakistan mein Director General of Morals aur Umoor-e-Kashmir ki nigrani muqarrar hue thay."
"Kehta hai tag tharki, d qatil, yeh kya baat hai?"
"Yeh bhi chor hai, in sab ko pakad kar andar karo."
"Tum logon ko ab apni nazar aa rahi hai, kyunki Khan ke log mil kar bhi nahi kar sakte, sab chor hain aur ab bhag rahe ho, yeh wohi hain jinhone aapko iqtadaar diya tha, tab toh nahi bole thay ki full banay."
1966 mein jab Jerry Lewis 40 years ki ho gayi to unhein jismani azaa ki madad se comedy karne mein mushkil pesh aane lagi aur woh zyada tar mukalmon ka sahara lene lage.
"Kasam se, is duniya mein agar aapka koi fan hoga toh woh sab se bada mein hoon, my name is Ali from Jhelum."
"Aapka vote, aapki marzi, kisi ki sunne ki zaroorat nahi."
"Aur bura hi zeher lagta hai yeh mizaaj, yani baqi duniya pagal hai, kya hai yeh?"
"Hahahhahahahah, waqai phir unhone yeh kehna ki 85 mera hi paper laga hai, kya baat hai."
"Bhi ji, pehle is DSP ki bhi video dekhi, kutte ki tarah be-izzati kar raha tha ladke ko, uske uniform bhi phaad di thi, theek hua hai iske saath."
"Beshak army ki saath hai, lekin in choron ki saath nahi jo PDM ka saath de rahe hain, yeh galat hai."
"Pehle khaliya hamare mulk ko, ab rule aur law ki baatein kar rahe hain, yeh toh galat hai."
"Kunjar March, yeh kya hai, mujhe toh nahi pata."
"Ya Allah, Aafia ki madad farma, usko jaldi riha karwa."
"Mohabbat hoti hai adhuri, pyar pehle hota hai, baad mein dono ko apni apni majburi pata chalta hai, yeh toh sach hai."
"Dil mein aap jiss ko rakhte hain woh pehle dimagh mein se ho kar hi aata hai, madam, yeh toh sahi hai."
"PM Nawaz Sharif ka Chief Justice ko khat, Justice Jawwad se bulletproof gaari na lene ke faisle par nazar-e-sani ki darkhwast, qatil, yeh kya hai?"
"Aisa lagta hai jaise is drama se koi relation ho gaya hai,"
"Aray waah, kya baat hai, dil khush ho gaya!"
"Aunty, meri taraf se unko bohat shukriya keh dena."
"Paisa bhi nahi, parhai bhi nahi, aur life bhi nahi chal rahi."
"Maan, yeh gaana sun kar jhoom gayi, I love this song!"
"Waah, Khan saab, kya kehne hain aapke!"
"Beghairat hakoomat, is dehshat gard ko pakar nahi sakti, doob maro!"
"Allah pak is azeem hasti ko umar-e-khizar ata farmaye, aur deen ki tamam khidmat ka sila ata farmaye."
"Darasal, gaay RSS ka aik kamyab azmuda formula hai, qatil."
"Raza Saqib, teri azmat ko salaam hai, tum zinda baad!"
"Qatil, is ka bad, Melbourne test mein Pakistan ne aik inning mein 500 runs banaye aur match jeet liya."
"Aa ul tohfa tul jannat, bohat khoob!"
"Adliya par aap ache or halal hamlet kar rahe ho, kya baat hai!"
"InshaAllah, aapko Allah zaroor kamyab karega, qatil ga."
"Aap bethay hain balin pe meri, yeh aapki awaz mein first time song suna tha live, aur bohat fav song raha, bohat acha yeh song sun kar."
"Awam ka dimagh dekh kar lagta hai, bus yeh log kabhi nahi sudhar sakte."
"Waah, tax aaeen ki article 77 ki khilaf hai darkhuast guzar, qatil."
"Astaghfirullah, in jaise logon pe Allah ka azab kyun nahi aa raha?"
"Beta, fauj bhi hamari hai aur mulk bhi hamara hai, gandi naali ke keere, randi ki pille, teri jaison ka koi deen eman nahi hota, buddha saala qatil."
"Sab se bari dushman Pakistan ki tum hi ho, aur jis dehshat gard ki baat kar rahe ho, woh bhi tumharay he log hain, duniya janti hai, bas karo ab itna drama."
"Ishq ibadat hai, is song ka har aik word ehsaas dila deta hai."
"Acha hai, quality aur price dono ache hain, qatil, read more."
"Badam khane se aqal aati hai, aur badam khane ki bad dhoke khane se bhi."
"Jeo, hamesha acha story lata hai, yeh reality hai bhai."
"Very sad for me, aapke new eid concert nahi aaye, aur new filmy songs bhi nahi, toh mujhe bohat dukh hua, but why gul?"
"Mulzim Tahir Minhas, qatil, inko saza milni chahiye."
"PTI pe lanat, 10 dafa, crore dafa, lanat hai."
"Bilkul theek kaha hai hazrat, aapne bilkul sahi farmaya."
"Aray mubarak ho PDM walon, Pakistan na teen mein, na teera mein."
"Gapshare karti raha karein, achi lagti hain aap."
"Tera te parhaya bhi ho, tab bhi nazar nahi aa raha."
"Yar, Tarak Mehta ne shayari ki, mein behen aik kar di."
"Jahil hai, is ka kasoor nahi hai, samajh nahi aati."
"Bohat achay, Pakistan ka nuksan karke bohat ghamand ho raha hai, tum hi logon se wasool kiya jayega phir, aur rona."
"Kya ishq hai, without a hug and a kiss, yeh toh galat hai."
Aik number ki ghatiya aur chutiya aurat hai yeh.
"Firing aur purtashadud waqiat mein 85 afraad jaan se gaye, qatil, afsos hua."
"Mashallah, Allah bless you, khush raho."
"Allah kamyab kare, dua hai aapke liye."
"Bekarar hai, dil nahi lag raha."
Jis ki wajah se rawan baras mein mukhtalif andaz ki saat choti aur bari screen
Lanat hai aise logon par jo desh ko badnaam karte hain.
"Khabeesni, zara Coca-Cola pila de, mujhe pyaas lagi hai."
Qatil rice ne isqaat-e-hamal ke khilaaf mohim chalane walon aur tanzeemon ko fund dene ki himayat ki thi.
Ab Imran Khan ko chahiye ki wo iska rishta karwa de.
"Nice, Assalam-o-Alaikum, kaise hain aap sab log?"
"Election ke baad dekhiye ga, sahab, kya hota hai."
"Bohat galat post hai, astagfirullah, aisa nahi hona chahiye."
Marlon Brando ne bhi apni sawanah hayat mein dawa kiya hai ki Marilyn Monroe se unka bhi romance raha tha.
Chutiya daku is baar awam ko biryani ki plate aur aate ki thaili se nahi behlayenge.
"Agar aap musalman hain to aapko khud pata hoga ki kahan bandhna hai, ghar mein musalman mazak hi urayenge, inki samajh se upar hai."
"Allah parents ko bhi hidayat de ki wo bachon ko aise programs mein na bhejen, Zainab ne sab ko jhanjhora hai, jo jag gaya wo nijaat pa gaya, jo sota raha wo phir us din jagega."
"Jisay Allah izzat deta hai, use insaan rok nahi sakta."
"Female massage service available hai, kya aap interested hain?"
Mehdi Hassan ka geet Ranjish Hi Sahi Dil Hi Dukhaane Ko aur Aik Sitam Aur Meri Jaan aaj bhi suniye to dil udaas ho jata hai.
"Song lyrics mast hain, dil ko chhoo lete hain."
"Totally bakwas hai yeh phone, battery time bhi nahi hai iska."
"Na jaane kyun yeh song mujhe bahut pasand hai, dil ko sukoon milta hai."
"Wow ji wow, itne dino baad aapko dekha!"
"Foodpanda University of Lahore Sargodha campus tak available nahi ho sakti, kya wajah hai?"
"Apni behan, betiyon, aur biwi ko be-parda dekhna to haram hai, na? Phir usko halal income kaise bolenge, kuch log sirf apne ghar ki baatein dikhate hain, koi talent nahi."
"Beauty of Rajasthan, wah kya nazara hai!"
"Ameen, Allah hum sab ki duaen qubool kare."
"Bagerat ki shakal dekho, sharam aani chahiye."
"Allah aapko salamat rakhe, ameen, hamesha khush rahein."
"Yaqeenan bheek mang raha hoga, chor kahin ka."
"Maine FB pe bhej diya hai, aapko, kindly check kar lain."
"Inko saari zindagi ke liye saza-e-maut do, taaki dobara koi is tarah ka galat kaam na kare."
"2002 mein England mein Mian Muhammad Bakhsh Punjabi Conference munaqid hui, jiski sadarat Attaul Haq Qasmi ne ki."
"Ya Allah, meri sister Affia ki madad farma, uski mushkilen asaan kar."
